id,name,price,description
1,Mercedes-Benz,941.04,Team-oriented directional encoding
2,Pontiac,2463.94,Configurable full-range instruction set
3,Maserati,1098.9,Progressive multi-tasking project
4,Chevrolet,1335.12,Function-based web-enabled monitoring
5,Mitsubishi,9008.96,Reverse-engineered foreground methodology
6,GMC,1113.2,Switchable 6th generation definition
7,Isuzu,1755.34,Reduced asymmetric flexibility
8,Chevrolet,2697.49,Total 6th generation standardization
9,Mercedes-Benz,2333.41,Operative national functionalities
10,Mazda,3718.47,Integrated next generation software
11,Ford,5040.54,Networked next generation software
12,Jaguar,9188.9,Synergized leading edge initiative
13,Volvo,6225.33,Optional contextually-based flexibility
14,Ford,7337.06,Programmable multi-tasking instruction set
15,Chevrolet,6479.54,Upgradable multimedia hardware
16,Mercedes-Benz,3249.16,Synergistic optimal interface
17,Volkswagen,1084.61,Self-enabling impactful extranet
18,Volkswagen,2048.51,Adaptive actuating secured line
19,Chevrolet,1060.97,Balanced dedicated flexibility
20,Maybach,5303.97,Re-engineered composite interface
21,Hyundai,5398.79,Business-focused bottom-line Graphical User Interface
22,Chevrolet,8499.57,Upgradable client-driven hierarchy
23,Suzuki,3657.65,Seamless actuating success
24,Ford,6927.51,Extended methodical capacity
25,Oldsmobile,3092.05,Cloned optimizing system engine
26,Geo,2207.39,Decentralized systemic knowledge user
27,Chevrolet,1928.21,Profound intangible core
28,Mitsubishi,2320.74,Switchable composite time-frame
29,Isuzu,3992.52,Grass-roots 3rd generation superstructure
30,Suzuki,7273.86,Front-line global help-desk
31,GMC,2661.27,Function-based background local area network
32,Toyota,2328.99,Reverse-engineered 5th generation open architecture
33,Suzuki,412.73,De-engineered dedicated solution
34,Toyota,991.37,Grass-roots grid-enabled definition
35,Ford,1181.92,Upgradable zero tolerance forecast
36,Chevrolet,8265.86,Secured directional instruction set
37,Scion,1891.69,Multi-channelled neutral standardization
38,Nissan,7961.19,Open-source object-oriented neural-net
39,Isuzu,5133.95,User-friendly logistical definition
40,Lincoln,3202.19,Intuitive incremental approach
41,Mazda,7129.37,Cross-platform exuding complexity
42,GMC,3485.78,Horizontal modular flexibility
43,Infiniti,6311.31,Managed zero tolerance focus group
44,Dodge,1836.04,Persevering client-server middleware
45,Dodge,709.69,Automated actuating help-desk
46,Honda,4350.27,Focused tertiary capability
47,Alfa Romeo,5709.14,Cloned hybrid structure
48,Mercedes-Benz,5468.84,De-engineered optimal framework
49,Honda,7270.96,Triple-buffered eco-centric synergy
50,Acura,4857.81,Ergonomic zero administration customer loyalty
51,Dodge,1015.54,Integrated impactful forecast
52,Buick,519.0,Decentralized mission-critical extranet
53,Mitsubishi,3142.96,Right-sized maximized encoding
54,BMW,6966.73,Customizable intangible customer loyalty
55,Tesla,2173.48,Polarised local utilisation
56,Mazda,7457.6,Fully-configurable user-facing matrix
57,BMW,1224.61,Monitored tertiary alliance
58,Porsche,692.16,Reduced maximized flexibility
59,Honda,9483.54,Multi-layered analyzing productivity
60,Maserati,1664.56,Optimized client-driven instruction set
61,Suzuki,1050.82,Customizable transitional infrastructure
62,Pontiac,5203.17,Persevering context-sensitive migration
63,Suzuki,8156.46,Universal systematic throughput
64,Mercury,6182.27,Pre-emptive systematic knowledge base
65,Mazda,7740.34,Advanced discrete matrices
66,Toyota,4742.91,Customer-focused bifurcated groupware
67,Ford,8618.13,Monitored bottom-line data-warehouse
68,Acura,4476.51,Total global hardware
69,Buick,344.13,Networked value-added strategy
70,Chevrolet,1894.5,Universal optimizing protocol
71,Infiniti,8104.93,Re-engineered discrete contingency
72,MINI,835.73,Operative clear-thinking task-force
73,Buick,6600.86,Integrated didactic application
74,Scion,2076.54,Right-sized actuating artificial intelligence
75,Volvo,4261.91,Right-sized contextually-based focus group
76,Mercedes-Benz,5042.31,Distributed analyzing architecture
77,Bentley,7289.12,Self-enabling impactful protocol
78,Lexus,7984.01,Programmable national analyzer
79,Audi,8520.68,Quality-focused solution-oriented project
80,Pontiac,5206.55,Team-oriented 3rd generation monitoring
81,BMW,438.16,Realigned grid-enabled matrix
82,Mazda,3187.76,Organic heuristic leverage
83,Lexus,5409.35,Intuitive web-enabled emulation
84,Mitsubishi,5352.78,Progressive hybrid standardization
85,Porsche,7642.68,Universal exuding moderator
86,Chevrolet,8459.92,Object-based global knowledge base
87,Kia,3975.85,Multi-lateral user-facing migration
88,Mazda,5809.88,Balanced heuristic initiative
89,Cadillac,9558.22,Virtual intermediate structure
90,Jaguar,6146.33,Object-based local migration
91,Mazda,5923.4,Streamlined zero defect contingency
92,Mercedes-Benz,9133.42,Horizontal web-enabled portal
93,Volkswagen,295.83,Enterprise-wide regional challenge
94,Chevrolet,7456.45,Triple-buffered bottom-line encryption
95,Austin,6203.8,Ameliorated systemic archive
96,GMC,7657.18,Universal content-based access
97,Toyota,1176.03,Reduced mobile monitoring
98,Volvo,2067.71,Mandatory actuating access
99,Maserati,1188.07,Customer-focused secondary hierarchy
100,Lincoln,8069.44,Realigned next generation structure
101,Ford,4987.27,Intuitive dedicated array
102,Chevrolet,5870.41,Ameliorated systematic methodology
103,Chevrolet,1834.19,Ameliorated multi-state application
104,Land Rover,7146.16,Quality-focused asymmetric product
105,Ford,3668.05,Operative needs-based hardware
106,Mazda,1975.84,Stand-alone didactic alliance
107,Buick,1451.84,Inverse optimizing hierarchy
108,Ford,8337.38,Vision-oriented disintermediate budgetary management
